standalone samostatný
agate achát
movement hnutí
products produktov
stimuli podnety
writings spisy
sidewalk chodník
occurred nastal
bratislava bratislave
maintains udržiava
respective príslušných
still ešte
touch dotyk
bacteria baktérií
negotiations rokovaniach
albania albánsko
combined spojil
establish založiť
won zvíťazil
hockey hokeji
section oddiel
not nemal
president prezidentom
topic tému
cancellation zrušení
people osoby
solution riešenia
fall pádom
burgundy vlnovej
sections úseky
development vývojom
homemade domáce
order rozkaz
political politického
food potravinársky
commission komisie
bible biblia
property vlastníctvo
its svoju
separate samostatného
narrow užšom
existence existencie
states tvrdí
nobility šľachty
neptune neptúna
hibs hlbšie
karst krásu
information informácie
supply zásobovanie
traveled cestoval
islands ostrovy
master majster
moravia moravy
efforts snahu
charles karola
search hľadanie
if ak
names mien
chinese číňania
event diania
regulation regulácia
laws zákonmi
politic politik
military vojenská
upper hornej
expedition výpravy
violin husle
cuboid kváder
hardness tvrdosť
be treba
follows nasleduje
huge obrovských
seconds sekúnd
selection výber
crisis kríza
neutron neutrónov
formal formálne
relief reliéf
veneer dlhá
two obe
race rasy
industry priemysel
believer názoru
anton antona
philosophers filozofi
sure istý
democratic demokratická
philosophical filozofickej
thumb palác
value hodnota
economic hospodárskych
keys klávesy
current dnešný
course priebeh
issues otázkach
steam páry
standard štandardné
like podobá
lived žil
large veľkých
mathematical matematická
endings koncových
clean čistá
styles štýlov
current súčasná
peace mierovej
lasts trvá
help pomáha
valley doline
center stredom
info informácií
worlds svetová
notes poznámky
companies spoločností
record rekord
where kde
language jazykové
nitra nitrianske
egyptian egyptských
work prác
geography geografie
smith kováč
first prvou
persecution prenasledovanie
fashion módu
conflict konflikt
typical klasickým
living živá
express prejavil
importance dôležitosť
life živote
forests lesov
jozo jožo
systems systéme
these títo
celebrations oslavy
watch pozorovať
possible možných
labour pracovná
execution vykonávanie
bible biblii
clamp kliešťovité
media média
include obsahujú
pressure tlaková
movie filmu
other iného
egyptians egypťania
length dĺžka
tank tankových
planet planéte
perfect dokonalý
shalom takú
what čomu
for účely
especially obzvlášť
substance látka
valley údolí
carbon oxidu
necessarily nutne
aircraft lietadiel
papal pápežské
jovian joviálne
orbital obežnej
passes prejde
derived odvodený
further ďalej
quickly rýchle
uranium uránu
immigrants imigrantov
way spôsob
field poľom
emerge vyplýva
transition prechodné
refused odmietla
ethanol etanolu
splitter rozbočovač
called zvané
site nálezisko
february februára
ability schopnosťou
as nakoľko
phase fázu
honest čestný
form tvoria
moravia moravu
not nemohli
next následným
barcelona barcelony
important dôležité
act koná
fatra fatry
earl gróf
committee zboru
game partie
institutions inštitúcií
compounds zlúčeninách
prices cien
reasons dôvody
early skoré
house dóm
their svojich
change klímy
greeks gréci
election voľby
money peniaze
useful užitočné
described opísať
females suky
short skrátene
team družstva
most najväčší
means rozumie
john jánom
members členov
music hudobných
east východne
believe presvedčení
time ráz
courts súdy
mass hromadne
end koncu
other inými
based zakladá
poison blanokrídlovce
neighboring okolitých
through prostredníctvom
form formami
two oba
division členenie
every každého
latvia lotyšsko
may mája
taj tej
1 ½
lands územiach
reference referencie
inflammation zápal
article článku
leadership vedení
alone samé
visible viditeľný
expedition výpravu
north severná
historians historikov
acceptable prijaté
shows ukazujú
barrels súdy
left opustili
force platnosti
black čierne
editor redaktor
composition skladba
military vojenské
fast rýchlo
duchovny duchovný
article články
done uskutočniť
paintings maľby
near blízkeho
coat srsti
saint svätej
values hodnoty
the základe
end konci
widescreen wide
cores jadra
went ňom
speed rýchlosti
quality kvalite
found našli
supporters prívrženci
weeks týždňov
medium stredných
attention pozornosti
staff pracovníkov
prešov prešove
studies študuje
mate druhá
replaced nahradil
ports prístavu
czechoslovakia čssr
schizophrenia schizofrénie
stone kameňa
remnants zvyšky
d doktor
dance tanec
increase zvýšeniu
change zmenili
nature príroda
series radov
not nie
heavy ťažkých
mentioned spomínaných
came prišli
nations národnú
of mestám
search suché
ended skončila
northeast severovýchode
valley dolina
potent silným
construction výstavbu
break-up rozpadu
st. sv
broad širokú
i ma
brigade brigády
shevchenko ševčenko
form tvorí
used používaná
power elektrickej
classicism klasicizmu
criticism kritiku
given daného
hungary maďarska
polish poľského
bands pásiem
army armádou
life život
station stanici
implementation realizáciu
un osn
address adresy
governed riadi
ban zákaz
company podnik
further ďalšiemu
production výrobe
changes zmeny
act konať
winter zime
difficult ťažké
consent súhlasu
adopted prijatá
perhaps snáď
sound zvukové
obscure stráca
harmony harmónie
mountains pohorie
sculpture sôch
silent tichý
tito títo
displaying zobrazovaní
device prístroja
industrially priemyselne
minimal minimálne
this tomu
nature podstatou
spaniel španiel
fashion móde
economically ekonomický
storage uloženie
monograph monografia
prize cenu
change mení
form tvoriť
occurrence výskyt
roman rímskou
king kráľ
spread šíria
forces silám
pass prechádzajú
earthquake zemetrasení
effects efekty
slovak slovinsko
planet planétu
physics fyzike
entire celú
spectrum spektrum
bone kosť
magnetic magnetický
vertical vertikálne
neighborhood okolí
apparatus aparátu
coffee kovové
small malými
new novou
place odohráva
foreign zahraničia
hold držali
primary základnú
finish cieľom
russian rus
applies vzťahuje
french francúzska
artists umelcov
coast pobreží
quantity množstve
alcohol alkoholu
prime prvočíslo
cooperation spolupráci
black čierna
monks mníchov
do robiť
remained nachádzali
internet internete
rack nosič
remain zostať
indicates označujú
european európska
spread šíri
positive pozitívne
section častí
related súvisia
stains škvŕn
progress prebieha
become stať
mark označovať
simplification zjednodušenie
behavior správanie
geza gejza
may máji
country krajina
natural prirodzené
rocky skalné
security bezpečnostnej
hydrocarbons uhľovodíky
production vyrobené
study skúmať
monarch panovník
oriented orientované
expression vyjadrenie
cooperation spolupráce
admission vstupné
falls spadá
gravity gravitačné
cup pohár
side strane
today dnes
election volebnom
first prvom
remaining zvyšných
some niektorými
possibly prípadne
ports prístavy
difficulties ťažkosti
schizophrenia schizofrénia
culture usporiadané
care starostlivosť
bridge most
way cesta
building stavebných
gone zašiel
little malo
height výškou
empire ríšu
mountains pohoria
housing plášťa
increased rástla
atmospheric atmosférický
football futbalové
song piesne
teeth zuby
gravitational gravitačnom
more vyššiu
view pohľadu
station stanice
expansion rozmach
domestic domácu
address adresu
such takáto
sunday nedeľu
more väčšie
course kurz
characteristics charakteristiky
testifies svedčí
autonomy autonómiu
attractions zaujímavosti
value veličina
amount sumu
face tvaru
andes ánd
binds viaže
dissertations štúdiom
slovenia slovinsko
bridges mosty
gate brány
rec reč
his svojím
anything niečo
elements prvkov
his svojim
presidency predsedníctvo
only jedinú
sun slnečné
production výroba
demands nároky
tasks úlohy
order zákaz
england anglickom
decline úpadok
aristocracy šľachty
meet splniť
actual aktuálne
peculiarity zvláštnosťou
prize ceny
components zložky
ceremony slávnostne
about okolo
w. w
west západnej
scanner skener
could dalo
establishment založenie
court súdny
french francúzske
pedology pedológia
do robí
heaviest obežnou
appreciation ocenenie
public verejných
summary súhrn
create vytvoriť
floods pôvodné
can dá
had mala
word písmenom
achievement dosiahnutie
commission komisia
metal metalové
everything všetkému
metal metale
minimal minimálna
came prišlo
includes zahŕňa
scientific vedeckej
hard ťažko
opportunities príležitosti
medians medián
november novembra
protocol protokolu
on dňoch
dogs psy
parameters parametre
religious náboženskej
physics fyzika
believed veril
people obyvatelia
develop vyvinúť
spread rozprestiera
equipped vybavené
system systémom
tape snímka
u. ú
rest zvyšok
slash poľom
monument pamiatka
scarcity nedostatkom
russia ruská
white bielym
championed presadzoval
roots korene
appointed vymenúva
impossibly nemožné
sugar cukrová
diode dióda
critics kritici
close blízkosti
archaeological archeologické
precious dráhach
usage využitie
individuals jednotlivcov
store ukladanie
slovakia slovanské
blood krvi
effectively účinne
miscarriage potrat
connector konektor
union zväzu
clear čisté
presidential prezidentských
adapt prispôsobiť
tropical tropické
behavior správania
elects volí
church cirkev
authorities orgánmi
foreign zahraničnej
visit návštevy
layers vrstvy
information informácia
films filmoch
computers počítačoch
expressed vyjadril
got dostala
grof gróf
immediately okamžite
personal osobné
biological biologických
offer ponúkajú
plate platňu
spanish španielske
back zadnej
summer letných
contemporary súčasnom
crew posádky
computer počítač
area plochy
old starej
all všetky
casualties obetí
break zlomu
home domáca
sharing zdieľanie
started začali
minerals minerálov
aluminum hliníka
more skôr
music hudbe
astronaut kozmonaut
given dodáva
anti-tank protitankové
leads veda
emails emailové
czech česky
commander veliteľa
price cene
space priestoru
procedures postupov
quarter q
slovaks slovákov
claims nároky
jews židia
initiatives iniciatívy
arrival príchode
third tretej
small malá
eye oka
thermic tepelné
consists skladajú
composition zložení
others ostatní
electric elektrická
courtyard dvora
decay rozpadu
statement vyhlásením
numerous početné
wednesday stredu
representatives predstaviteľmi
download stiahli
read číta
bolsheviks boľševici
coin minci
transistor tranzistorov
clubs kluby
reciprocally vzájomne
american americký
devote venovať
way cestu
developed rozvíjal
period obdobie
official úradným
