insignias obilježja
zealand zeland
easy polako
emphasizes ističe
railway željeznice
route pravac
love voli
middle sredinom
wars ratove
another neko
current struje
fall padom
mayor gradonačelnika
standpoint stajalište
molecule molekule
marksman strijelac
golden zlatna
city busovača
spelling pravopis
placed smještene
names imenuje
recognizable prepoznatljiv
dostoyevsky dostojevskog
which kojeg
term rok
sentences kazne
network mreže
symptoms simptoma
separate određeni
received dobile
king kraljem
itself samu
valley dolini
kilometers kilometara
syntax sintaksa
audience publiku
previous prethodnim
carried nosila
developed razvijao
genitals spolni
chordates hordati
sports sportskih
relieve oslobađa
new novom
military vojnoj
confirmed političari
total ukupan
center centrom
little malim
year godini
different razni
spread šire
prose prozi
army armije
foreign stranih
respond reaguju
users korisnici
all svu
station stanica
mary mariji
available dostupan
parts djelovima
control kontrolu
length dužina
public javnog
conclude zaključiti
austro-hungarian austrougarski
which koјi
record bilježe
formal formalne
basic osnovno
critics kritičara
children djece
with uz
legionnaires legionara
measurement mjerenje
flower cvjeta
strategy strategije
material materijala
mediums mediji
as kako
covers obuhvata
egypt egipat
language jeziku
variable varijabla
nahiyah nahiji
area područje
natural zemnog
motion kretanja
drugs lijekova
her njoj
translates prevodi
researchers istraživači
ultimate konačan
object objekt
known poznavali
corps korpus
system sistem
architectural arhitektonski
literary književnim
marocco maroko
similar sličnih
pasha paše
empire carstvu
celebrates slavi
valve klapa
peaks vrhovima
offered ponudio
were nalazile
geographical geografski
croatian hrvatskih
feels osjeća
fruit plod
surrounded okružena
many brojnih
wash prati
prohibited zabranjeno
wound rana
mixture mješavina
evenly ravnomjerno
version verziji
married oženjen
last zadnja
occupiers okupatora
national nacionalnom
limitation ograničenje
troops trupa
no nikakve
velez veleža
little male
montenegrins crnogorci
elections izborima
represented zastupljen
understand shvatiti
document dokument
constantinople carigrada
called nazivom
steppes stepe
endure podnijeti
net mrežom
course toku
menstrual menstrualni
related povezan
blocks blokova
rule pravilo
three triju
houses doma
emperor car
following prateći
put stavio
young mladim
teresa terezija
played igrao
greeks grka
beginning počev
monastery manastiru
its svoju
sequence niz
particular pojedine
stiffness krutost
nuclear nuklearne
within roku
big velikih
rare rijetki
principle principa
basic osnovnim
banned zabranjenog
short kratak
engineering inženjering
directions upute
determine određuje
army armija
enemy protivnika
opportunities mogućnostima
contrast razliku
defeat poraza
size veličina
palace palača
blocks bloka
personal vlastite
military vojnom
provides obezbjeđuje
passed prošao
each svakih
complete kompletna
first prvo
that time
express izraziti
home nade
yugoslavs jugoslaveni
results rezultate
refining prerada
spring poluga
trying pokušavali
quantity količini
private privatni
thespian dramski
operations operacije
power vlašću
phase faza
escaped pobjegli
azerbaijan azerbejdžan
apparatus aparata
that ta
philosophers filozofi
call poziv
door vratima
spot tačke
different razne
keyboard tastatura
increase povećanja
exact tačan
peter petra
geometrical geometrijski
wars ratovi
announce najavljuje
questioning ispitivanje
given date
immediately neposredno
biggest najveću
sports sportskim
center centru
post poštanskih
roman rimskog
else drugog
foreign stranim
mainstream matica
serve služiti
standpoint stajališta
primary primarne
oxidation oksidacija
record snimak
entire cijela
network mreži
citizen građanin
cancer raka
home domovina
marshal marshall
camp logora
jobs poslova
valley doline
sweden švedska
ratio razmjera
filled ispunjen
centers centri
sources izvorima
famous poznatom
home domaća
conclusion zaključka
supposedly navodno
record rekord
kill ubiti
but ali
jakov jakova
measurement mjerenja
build grade
carbohydrates ugljikohidrati
cycle ciklus
interests interes
technological tehnološki
enjoy uživali
foot podnožju
metaphor metafora
cave pećini
that tom
russian ruskog
mostly većinom
civil građanskog
rule pravilu
every svaku
antioxidant antioksidant
opening otvor
mary marije
rainfall padavine
provokes izaziva
children djeca
name nazivu
austrian austrijskog
way putu
national nacionalnoj
one onoga
lies leži
tissue tkiva
movie filmu
headquarters sjedište
electrolysis elektroliza
unique jedinstven
forts utvrđenja
new novoj
hard čvrsto
mediums medije
first prvi
conditions uvjeti
protection zaštiti
length dužine
sides strana
imperial carske
sister sestrom
austro-hungarian austrougarske
average prosjeku
pebbles kamenčića
found našlo
need trebaju
paper papir
initial početne
troops trupe
austria austriji
nahiyah nahija
elements elemente
administrative upravno
shrink smanjuju
islamic islamskog
some neku
economic privrednom
canals kanalima
proteins proteina
journalist novinar
ticket karata
madhhab mezheb
logical logička
fact činjenicom
sought nastojao
summation sabiranje
humanity čovječanstva
ruled vladao
all svo
premiere premijera
preservation očuvanje
momentary trenutni
performance izvedbe
stations stanice
arise nastaju
those takvim
fleas buhe
june juni
them njime
surrounded okružuju
nuclear nuklearna
that takvom
messages poruke
areas područjima
classification klasifikacija
founded uspostavili
takes zahvata
zenith zenit
arises proizlazi
size veličine
males muškarci
travels putuje
based zasnovana
introduction uvođenjem
personal vlastita
taking preuzimanja
biophysics biofizika
health zdravlje
expedition pohoda
home dom
scull lobanja
schools škole
medina medinu
leftovers ostatka
circles krugovi
begun počele
results rezultata
naproxen naproksen
played odigrala
hole šupljinu
reason povod
literally bukvalno
corner ugao
basic osnovni
private privatne
state državu
optical optički
primary primarna
book knjizi
many mnoštva
decades decenijama
whole cijeli
this ovakvog
fulfills ispunjava
temporal vremenski
organs organima
inversely obrnuto
dinner večera
sells prodaje
down spušta
army vojskom
asia azije
convergence konvergencija
mehmed mehmeda
entire cijele
lowland nizina
opposite suprotno
leave napusti
found našli
headquarters sjedišta
writer pisac
intentionally namjerno
that toj
these ovakvi
whole cijela
eleventh xi
department departmana
motion pokretu
streams tokovi
european evropskom
national nacionalnog
golden zlatni
defence odbrani
pass proći
maintain odražava
dialectal karta
series nizom
legionnaires legionari
allow omogućiti
side strana
feelings osjećaja
creates čini
living življenja
carbon karbonat
exits izlaze
pikes koplja
journey putovanja
himself samog
texts tekstove
knight viteza
biggest najveći
valley dolina
st. sv
performing komunikacije
crown krunu
drugs lijekovi
areas krajeve
there postoje
theoretician teoretičar
first prvu
protect zaštiti
young mlade
night noći
rail željeznica
cup kup
are smo
collaboration saradnji
life život
brought dovelo
feldspars feldspat
piezoelectricity piezoelektricitet
physics fizika
young mladih
these naših
opponents protivnici
alkyne alkini
austro-hungarian austrougarska
holidays praznika
croatia hrvatsku
famous čuvenu
reproduction razmnožavanje
starts započinje
winter zime
free osloboditi
name luj
loved volio
thereby čime
approximately približno
electric električnu
children dječja
vuk vuka
awareness svijesti
green zeleno
sunset zalaska
slaughter klanja
goal cilju
marsala maršala
hill brijegu
lead olovo
mass masu
notify javiti
causes izaziva
fossils fosili
declaration deklaracija
present sadašnja
within sklopu
elements elementa
proclaimed proglasili
vitamins vitamina
european evropskoj
vaginas rodnice
work raditi
east istoka
metal metala
dubrovnik dubrovčanima
short niskim
books knjige
last zadnji
dearer draži
correct tačan
general općoj
level razini
occupy zauzme
air zračne
hardness gimnazija
revolution revolucija
transition prelaza
returning povratka
primary primarno
surname čengić
fought borili
flat ravna
report izvještaju
land kopnu
prevailing preovladavaju
scotia škotske
nest gnijezda
stones stećcima
peoples narodno
released oslobađa
texts tekstova
japanese japanski
german njemačke
wind vjetra
tools alat
researcher istraživač
that tog
private privatna
areas područja
snow snijegom
girl djevojčice
archaeologists arheolozi
sulfur sumpor
fortress tvrđava
computation računanja
politic političkih
characteristic karakterističan
cold hladna
individual pojedinačnih
so pa
soviet sovjetskog
north sjevernim
never nikada
singing pjevao
map mapa
continues nastavlja
october oktobra
teaching učenja
spo spö
placed smješten
lack nedostatak
emblem grba
watt vat
issued izdat
serbo-croatian hrvatskosrpski
theater teatar
basic osnovne
nuclear nuklearnog
miracles čuda
emergence nastankom
asia aziji
label oznaka
found našle
right pravo
paramilitary paravojne
pasha paša
source izvor
waves talasa
network mreža
well-known poznata
hill brdski
effect efekat
all svi
antibiotics antibiotik
sun sunčev
italy italiju
insists nastoji
earthly zemaljska
story priču
cramp grč
taste ukus
nights noći
her njom
policy polisa
district okrug
arrived stigao
visible vidljiva
issued izdao
lots mnogi
show nastup
fish ribom
side strane
lists liste
defensive odbrambeni
first prvom
established utemeljena
allah sallallahu
mention spomenuti
and te
division podjele
earth zemaljska
received dobila
there nalazilo
split podjeli
drawn povući
industrial privrednog
magnificent veličanstveni
bridge most
texts tekstovi
conquer osvaja
use korištenja
traffic promet
golden zlatne
plato platona
there postoji
little malo
love vole
sport sporta
complicated složena
municipalities opštine
components komponenti
neck vratu
muhammed muhammeda
factor faktora
belt pojasa
niece unuka
station stanice
level nivo
again pak
protection zaštita
address adresu
austria austriju
motion kretanje
aeneas eneju
winter zima
resources resursima
year godinu
spectrum spektar
income prihodi
mother majkom
library biblioteka
founding osnivanju
hajj hadž
military vojnog
physics fizike
hotel hôtel
interface interfejsa
quick brz
form formirali
areas krajevi
children djeci
present sadašnje
player igrač
them onih
start započeli
basic osnovna
hump grbavici
doubts sumnje
ecuador ekvador
plant biljnog
juliet julija
hill brdu
left izašla
occurs javlja
keep održavaju
orthodox pravoslavci
life životnog
production produkcije
mushroom gljiva
heritage naslijeđe
entered ušlo
income prihode
surrealist nadrealista
name karla
hence otuda
geographical geografska
romans romani
phenomena pojava
currency sredstvo
establishment osnivanje
become postaju
yard dvor
revenues prihode
excuse izgovor
ships brodova
domestic domaćeg
fortress tvrđave
vlada vlado
holes rupe
enable omogućavaju
newspaper list
paper papira
cell ćelija
holding drži
ventricle komora
version verziju
marries ženi
developed razvijenim
textile tekstilna
then tadašnjoj
european evropskog
sight vida
accommodated smješten
leaving izlasku
fertilized oplođena
processing preradu
escape pobjeći
found nalazi
areas oblastima
islands ostrva
notice zabilježio
universities univerzitetima
slowly sporo
rebels pobunjenici
palace palače
cavity šupljinu
tail rep
bubbles mjehura
temperatures temperaturama
serbo-croat srpskohrvatskog
evidences dokaza
internet interneta
follows slijedi
lowland nizine
plasma plazma
understanding shvatanja
manifestations manifestacije
personal vlastiti
nickname vajta
cover pokriva
return povratka
blood krvi
king cara
after završetku
could mogao
actress glumica
