roamed ફર્યો
defeating હરાવીને
break તોડવા
long લાંબા
park ઉદ્યાન
warriors યોદ્ધા
name નામનાં
s રજા
classes કક્ષાએ
s એસ
joint સંયુકત
foreign વિદેશી
victim ભોગ
manufacturer ઉત્પાદક
masses પ્રજાને
13th ૧૩મી
approximately અંદાઝ
continent ખંડીય
programme કાર્યક્રમોમાં
konkan કોંકણ
mother માતાજી
intermediate મધ્યવર્તી
build બંધાયેલી
castle કોટ
calculations ગણતરીઓ
entirely મૂર્ધન્ય
for લિએ
where ક્યાં
spread ફેલાવાને
proportion માત્રા
held યોજાતા
generation સદીઓ
long લાંબુ
railway રેલ્વે
mind માનસ
solders સૈનિકોને
continuous નિરંતર
weather આબોહવાને
bharuch ભરુચ
evolution ઉત્ક્રાંતિ
stamen પુંકેસર
effect અસરનો
meaning અર્થ
originate મૂળનાં
transform પરિવર્તિત
research રીસર્ચ
from તરફથી
elected ચુંટાયેલા
necessary જરૂર
construction બાંધણી
criminal ફોજદારી
formation ગોઠવણી
year સાલ
database ડેટાબેઝ
line પટ્ટામાં
plants છોડવા
then ત્યારે
accomplishment સિદ્ધિ
lower નીચી
direction નિર્દેશન
direction દિગ્દર્શન
energies બળો
hit ફટકારી
plan રૂપરેખા
registered નોંધાઈ
sally નીકળે
certainly ચોક્કસપણે
old જૂનો
given આપેલું
west પશ્ચિમ
ancient પ્રાચિન
first પહલા
passed જતા
give દીધો
kept રખાયું
britain બ્રિટન
honour બહુમાન
duration ગાળાના
civil સવિનય
sit બેઠા
first પ્રથમ
war યુધ્ધ
influential પ્રભાવશાળી
persian ફ઼ારસી
so આટલી
long લાંબી
than કરાતા
1998 ૧૯૯૮
curve વળાંક
name વનરાજ
attractive આકર્ષક
being રહેવા
hot ગરમ
their એમની
taken લીધું
excess વધારાની
dance નૃત્ય
relative સાપેક્ષે
apollo એપોલો
84 ૮૪
italy ઈટાલી
keep મુકવા
foundation સ્થાપના
done બજાવી
remaining બાકીની
said કહેવામાં
price પૂરસ્કાર
members સભ્યોની
cast જાતિના
return પાછા
towers મિનારા
caring કેળવણી
highly આત્યંતિક
15 ૧૫
religions ધર્મો
hospice ધર્મશાળા
saturn શનિ
speed ગતિને
university યુનિવર્સિટી
foot ફુટ
send મોકલવા
like એવાં
election ચુંટણીમાં
food ફૂડ
nature સ્વરૂપને
list સૂચી
farsi ફ઼ારસી
soul આત્મા
opposite વિપરિત
towards પ્રત્યેની
extra વધારાને
creations રચનાઓમાં
hour અવર
collection સંકુલ
approximately અંદાજે
subjects પ્રજા
like એવા
wind વાયુ
body શરીરને
possible સંભવિત
unprecedented અભૂતપૂર્વ
volume ગ્રંથ
span ગાળો
north ઉત્તરી
force પડ્યુ
handover સોંપવામાં
fourth ચોથો
command કમાન
which જેનુ
show દેખા
possession કબ્જા
terrific પ્રબળ
here અંહીના
joins જોડાય
nobel નોબલ
system પધ્ધતિ
written લખાયેલ
comparison સરખામણીમાં
users વપરાશકર્તા
countries દેશોએ
nice સરસ
carriers કેરિયર્સ
15th ૧૫મી
beliefs માન્યતાઓ
left છોડવામાં
director નિર્દેશક
gall પિત્ત
capable યોગ્યતા
look જોઇ
centered કેન્દ્રિત
stream પ્રવાહને
coal કોલ
shown દર્શાવીને
done કરાઈ
results પરીણામે
distribute વિતરણ
reserved અનામત
required જરૂર
community સમુદાય
huge મોટું
opposite વિરોધી
comeback પુનરાગમન
highest ઉચ્ચતમ
made બનતા
drug દવા
imagining અનુલક્ષીને
eternal શાશ્વત
literary સાહિત્યિક
maid દાસી
list સૂચિ
effect અસર
welcome આગમન
done નાખે
arise ઉઠે
bay કાંઠે
population વસ્તીને
indians ભારતીયોની
placed મુકાયો
took સંભાળ્યો
activities પ્રવૃતિઓ
kingdom કિંગડમ
stand પગે
breeding ઉછેર
famous પ્રતિષ્ઠિત
demanded માંગી
value કિંમત
difficult ગૂઢ
constitution બંધારણમાં
entrance પ્રવેશદ્વાર
hours કલાકો
middle મધ્યમ
rhapsody ચારણ
natural નેચરલ
knows ઓળખે
photos ચિત્રોં
door દ્વાર
brahma બ્રહ્માએ
egypt ઈજીપ્ત
majority વ્યાપકપણે
rarely જ્વલંત
cheap સસ્તા
rituals રીતે
tendency વલણ
knowing ઓળખવાની
mausoleum મકબરા
half અર્ધા
lift લીફ્ટ
condition હાકલ
brought લવાયા
stone સ્મારક
permission છુટ
reverse પાછળના
manifold બહુવિધ
saint મુનિએ
1991 ૧૯૯૧
except સિવાયના
users વપરાશકર્તાઓએ
public જનતા
intact અકબંધ
placed મુકવામાં
win વિજય
gone ગઈ
question સવાલ
remaining બાકી
feet ફૂટ
assume જણાય
falling પડતું
road રસ્તો
look શૈલીના
minaret મિનાર
survey સર્વેક્ષણ
umbrellas છતરીઓ
work રચના
degree સનદી
topic મુદ્દે
election ચુંટણી
based મૂળે
duration સમયગાળામાં
rest આરામ
hall હોલ
gone જવું
handed હાથે
prohibition પ્રતિબંધ
creative સર્જનાત્મક
neal નીલ
keep રાખવું
like જેવાં
step પગલું
life આયુષ્ય
sand માટી
offspring સંતાનો
war લડાઈ
taste આસ્વાદ
kak કાક
bank બેન્કના
center મથક
insufferable અસહ્ય
arranging યોજાતા
characteristics લાક્ષણિકતાઓ
respectively ક્રમશઃ
of યુદ્ધની
like એવુ
fourth ફોર્થ
tourism પર્યટન
importance મહત્વ
surname ચક્રવર્તી
joined જોડાઇ
rigorous જોરદાર
personal વ્યક્તિના
protect રક્ષણ
novel નવલકથા
famous જાણીતી
specialist વિદ્વાન
physical પાર્થિવ
that એ
necessary આવશ્યક
nashik નાસિક
passage તકરાર
celebrations ઉજવણીઓ
first પરમ
undergone બનેલા
give અપાવે
island ટાપુના
give દીધા
touch ટોચ
recognize ઓળખી
facet પાસુ
peoples લોગો
self જાતને
tigers ટાઇગર્સ
ravishankar રવિશંકર
language ભાષા
pollution પ્રદૂષણ
why શા
science વિજ્ઞાન
removal કાઢવા
treatment સારવાર
apart વિખૂટા
aircraft વિમાન
compel પાડવામાં
power સત્વ
terms પદો
peak ટોચ
datar દાતાર
heat થર્મલ
you યુ
point પોઈન્ટ
cheap સસ્તી
